Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
CBC,A step-by-step look at the common cold,http://www.cbc.ca/news/interactives/cold-virus/,11/1/2011,interactive graphic,,,"Duk Han Lee, Kerry Wall",international,,,
CBC,Canada and Kyoto: A history of the country's involvement and its greenhouse gas emissions,http://www.cbc.ca/news/interactives/canada-kyoto/,12/12/2011,"timeline, interactive graphic",,,"Duk Han Lee, Kerry Wall",international,,,
CBC,Airlines and bankruptcy protection,http://www.cbc.ca/news/interactives/airline-bankruptcy/,11/29/2011,interactive presentation,,,Kerry Wall,international,,,
CBC,Egypt: The house Tahrir built,http://www.cbc.ca/news/interactives/egypt-apartment/,1/24/2012,"interactive presentation, video",,,"Nahlah Ayed, Stephanie Jenzer, Ousama Farag, Kerry Wall",international,,,
CBC,"Canada's deficits and surpluses, 1963-2011",http://www.cbc.ca/news/interactives/canada-deficit/,5/25/2012,interactive graphic,,,"Michael Pereira, Robert Vajda, Kerry Wall",international,,,
CBC,The Giller Prize,http://www.cbc.ca/news/interactives/giller-prize/,11/9/2011,"timeline, interactive presentation",,,Kerry Wall,international,,,
CBC,The Nobel Peace Prize,http://www.cbc.ca/news/interactives/peace-prize/,9/28/2011,"interactive presentation, slideshow",,,Kerry Wall,international,,,
CBC,World leaders' airline arrangements,http://www.cbc.ca/news/interactives/leader-travel/,9/22/2011,"interactive presentation, slideshow",,,Kerry Wall,international,,,
CBC,Jim Henson: Life and times,http://www.cbc.ca/news/interactives/henson/,,"interactive presentation, slideshow",,,Kerry Wall,international,,,
CBC,Jack Layton: A chalk tribute in Toronto,http://www.cbc.ca/news/interactives/layton-wall/,8/23/2011,interactive presentation,,,"Kerry Wall, Amber Hildebrandt",international,,,
CBC,U.K. riots: Messages of support in Peckham,http://www.cbc.ca/news/interactives/uk-riot-wall/,8/10/2011,interactive presentation,,,Kerry Wall,international,,,
