Org,Project,URL,Published,Tags,Section,Subject,Authors,Org Type,Tools Used,Backstory,Notes
ABC News,Japan Earthquake: before and after,http://www.abc.net.au/news/specials/japan-quake-2011/,,,,,Andrew Kesper,national,,,
ABC News,Pluto comes into focus,http://www.abc.net.au/news/2015-07-09/pluto-comes-into-focus/6566818,7/9/2015,"interactive presentation, timeline, video",,,"Ben Spraggon, Ash Kyd, Colin Gourlay",national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Daily Star,"Liens and foreclosures, broken down by company",http://azstarnet.com/app/maps/foreclosures/,,interactive map,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona Central,Yarnell Hill Fire: Remembering the fallen firefighters,http://www.azcentral.com/news/free/20130701yarnell-hill-fire-firefighters-names.html,7/2/2013,interactive feature,,,,national,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ProPublica,Has the Gov't Lied on Snooping? Let's Go to the Videotape,http://projects.propublica.org/graphics/nsa-claims,7/30/2013,"interactive feature, video",,,"Kara Brandeisky, Stephen Suen",national,,,
ProPublica,How the NSA’s Claim on Thwarted Terrorist Plots Has Spread,http://projects.propublica.org/graphics/nsa-54-cases,10/23/2013,interactive graphic,,,"Sisi Wei, Theodoric Meyer, Justin Elliott",national,,,
ProPublica,China's Memory Hole: The Images Erased From Sina Weibo,https://projects.propublica.org/weibo/,11/14/2013,"interactive feature, photo gallery",,,,national,,http://www.propublica.org/article/how-we-observed-censorship-on-sina-weibo,
ProPublica,How Well Did FEMA's Maps Predict Sandy's Flooding?,http://projects.propublica.org/fema-nynj/,12/6/2013,interactive map,,,Al Shaw,national,Google Maps,,
ProPublica,"Temp Land: Temporary Work, Lasting Harm",http://www.propublica.org/article/temporary-work-lasting-harm,12/18/2013,"interactive presentation, documents, timeline, video",,,,national,"Timeline.js, DocumentCloud",,
ProPublica,Temp Land: How to Fit 17 People in a Minivan,http://www.propublica.org/special/graphic-temp-agency-minivan,7/27/2013,"interactive feature, slider",,,"Michael Grabell, Krista Kjellman Schmidt",national,,,
ProPublica,Voices of Worker Safety,http://voicesofworkersafety.tumblr.com/,2013,"interactive feature, crowd source",,,,national,Tumblr,,
ProPublica,ER Wait Watcher: Which Emergency Room Will See You the Fastest?,http://projects.propublica.org/emergency/,12/19/2013,"interactive graphic, database, interactive map",,,"Lena Groeger, Mike Tigas, Sisi Wei",national,"Google Maps, The Noun Project",,
ProPublica,The Price of an Internship,http://projects.propublica.org/internships/,12/20/2013,"database, crowd source",,,"Blair Hickman, Mike Tigas, Sisi Wei",national,,,
ProPublica,2013 in Visual Storytelling and Data Projects at ProPublica,http://www.propublica.org/special/2013-in-visual-storytelling-and-data,12/31/2013,interactive feature,,,,national,,,
